language,class_id,lesson_id,current_lesson_compound,message,lesson_url_free,lesson_url_premium,next_lesson_id
en,2,1,en2lesson1,Let’s get started with the first lesson: Noun (what).,https://englishletics.github.io/daily/lessons/class2/lesson01.html,https://englishletics.github.io/premium/lessons/class2/lesson01.html,2
en,2,2,en2lesson2,How did you like the animals lesson? Now we talk about verbs!,https://englishletics.github.io/daily/lessons/class2/lesson02.html,https://englishletics.github.io/premium/lessons/class2/lesson02.html,3
en,2,3,en2lesson3,Did you learn the verbs yesterday? Now we build sentences.,https://englishletics.github.io/daily/lessons/class2/lesson03.html,https://englishletics.github.io/premium/lessons/class2/lesson03.html,4
en,2,4,en2lesson4,How are your sentences going? Let’s practice verbs! They are very important.,https://englishletics.github.io/daily/lessons/class2/lesson04.html,https://englishletics.github.io/premium/lessons/class2/lesson04.html,5
en,2,5,en2lesson5,"The free premium version is over now. If you want to keep the extended functionality up, please upgrade. If not, just do nothing. We are sending you the next lesson with limited functionality right away.",https://englishletics.github.io/daily/lessons/class2/lesson05.html,https://englishletics.github.io/premium/lessons/class2/lesson05.html,6
en,2,6,en2lesson6,Let's learn something very useful: Yes/No questions!,https://englishletics.github.io/daily/lessons/class2/lesson06.html,https://englishletics.github.io/premium/lessons/class2/lesson06.html,7
en,2,7,en2lesson7,"Today, we are focusing on descriptions with adjectives.",https://englishletics.github.io/daily/lessons/class2/lesson07.html,https://englishletics.github.io/premium/lessons/class2/lesson07.html,8
en,2,8,en2lesson8,Practice the most important verb in the English language: To be.,https://englishletics.github.io/daily/lessons/class2/lesson08.html,https://englishletics.github.io/premium/lessons/class2/lesson08.html,9
en,2,9,en2lesson9,"We've recently learned adjectives, and today we are using them for comparison.",https://englishletics.github.io/daily/lessons/class2/lesson09.html,https://englishletics.github.io/premium/lessons/class2/lesson09.html,10
en,2,10,en2lesson10,Did you learn more about adjectives? Today we're learning more: Adjectives + Prepositions.,https://englishletics.github.io/daily/lessons/class2/lesson10.html,https://englishletics.github.io/premium/lessons/class2/lesson10.html,11
en,2,11,en2lesson11,Feeling confident with your knowledge? Let's review your language skills so far.,https://englishletics.github.io/daily/lessons/class2/lesson11.html,https://englishletics.github.io/premium/lessons/class2/lesson11.html,12
en,2,12,en2lesson12,"Location, location, location! Today we are learning how to use 'where.'",https://englishletics.github.io/daily/lessons/class2/lesson12.html,https://englishletics.github.io/premium/lessons/class2/lesson12.html,13
en,2,13,en2lesson13,Who are you? You are a student. Learn how to use 'who' properly.,https://englishletics.github.io/daily/lessons/class2/lesson13.html,https://englishletics.github.io/premium/lessons/class2/lesson13.html,14
en,2,14,en2lesson14,How are your previous WH-questions going? Today we learn another one: When.,https://englishletics.github.io/daily/lessons/class2/lesson14.html,https://englishletics.github.io/premium/lessons/class2/lesson14.html,15
en,2,15,en2lesson15,Learn the most important tense for describing the past: Simple past tense.,https://englishletics.github.io/daily/lessons/class2/lesson15.html,https://englishletics.github.io/premium/lessons/class2/lesson15.html,16
en,2,16,en2lesson16,Are you ready? Today we are doing Present Continuous and Simple Future tense.,https://englishletics.github.io/daily/lessons/class2/lesson16.html,https://englishletics.github.io/premium/lessons/class2/lesson16.html,17
en,2,17,en2lesson17,Practice your WH-questions! Who - Where - When.,https://englishletics.github.io/daily/lessons/class2/lesson17.html,https://englishletics.github.io/premium/lessons/class2/lesson17.html,18
en,2,18,en2lesson18,Did you master the recent lessons? Time for a review!,https://englishletics.github.io/daily/lessons/class2/lesson18.html,https://englishletics.github.io/premium/lessons/class2/lesson18.html,19
en,2,19,en2lesson19,Hopefully you learned the previous WH-questions because today we're learning another: What.,https://englishletics.github.io/daily/lessons/class2/lesson19.html,https://englishletics.github.io/premium/lessons/class2/lesson19.html,20
en,2,20,en2lesson20,"Did you practice 'what' yesterday? Today, we are learning even more about it.",https://englishletics.github.io/daily/lessons/class2/lesson20.html,https://englishletics.github.io/premium/lessons/class2/lesson20.html,21
en,2,21,en2lesson21,"Today, you will learn to ask 'which' and 'whose' questions.",https://englishletics.github.io/daily/lessons/class2/lesson21.html,https://englishletics.github.io/premium/lessons/class2/lesson21.html,22
en,2,22,en2lesson22,"We're taking a break from WH-questions, and turning to another important one: How.",https://englishletics.github.io/daily/lessons/class2/lesson22.html,https://englishletics.github.io/premium/lessons/class2/lesson22.html,23
en,2,23,en2lesson23,Make sure you mastered the previous lesson because we're doing more 'How.',https://englishletics.github.io/daily/lessons/class2/lesson23.html,https://englishletics.github.io/premium/lessons/class2/lesson23.html,24
en,2,24,en2lesson24,"Back to WH-questions, we're doing 'Why' today.",https://englishletics.github.io/daily/lessons/class2/lesson24.html,https://englishletics.github.io/premium/lessons/class2/lesson24.html,25
en,2,25,en2lesson25,"Hopefully you mastered the previous lessons and all the questions, review is next!",https://englishletics.github.io/daily/lessons/class2/lesson25.html,https://englishletics.github.io/premium/lessons/class2/lesson25.html,
vn,1,1,vn1lesson1,Hãy bắt đầu bài học đầu tiên: Noun(what).,https://englishletics.github.io/daily/lessons/class1/lesson01.html,https://englishletics.github.io/premium/lessons/class1/lesson01.html,2
vn,1,2,vn1lesson2,Bạn có thích bài học về các loài động vật không? Giờ chúng ta đến với phần động từ nhé.,https://englishletics.github.io/daily/lessons/class1/lesson02.html,https://englishletics.github.io/premium/lessons/class1/lesson02.html,3
vn,1,3,vn1lesson3,Bạn đã học các động từ hôm qua chưa? Giờ hãy chúng ta sẽ tạo những câu hoàn chỉnh nhé.,https://englishletics.github.io/daily/lessons/class1/lesson03.html,https://englishletics.github.io/premium/lessons/class1/lesson03.html,4
vn,1,4,vn1lesson4,Việc tạo câu của bạn thế nào? Hãy thử một phần mới nhé: verb to verb . Nó rất quan trọng đó.,https://englishletics.github.io/daily/lessons/class1/lesson04.html,https://englishletics.github.io/premium/lessons/class1/lesson04.html,5
vn,1,5,vn1lesson5,Trường hợp bạn tiếp tục với những bài học miễn phí. Đây là bài học tiếp theo.,https://englishletics.github.io/daily/lessons/class1/lesson05.html,https://englishletics.github.io/premium/lessons/class1/lesson05.html,6
vn,1,6,vn1lesson6,Hãy học về một thứ rất hữu ích: Câu hỏi Yes/No,https://englishletics.github.io/daily/lessons/class1/lesson06.html,https://englishletics.github.io/premium/lessons/class1/lesson06.html,7
vn,1,7,vn1lesson7,Hôm nay chúng ta sẽ tập trung vào việc dùng tính từ để miêu tả,https://englishletics.github.io/daily/lessons/class1/lesson07.html,https://englishletics.github.io/premium/lessons/class1/lesson07.html,8
vn,1,8,vn1lesson8,Cùng thực hành động từ quan trọng nhất trong tiếng Anh: Động từ To be,https://englishletics.github.io/daily/lessons/class1/lesson08.html,https://englishletics.github.io/premium/lessons/class1/lesson08.html,9
vn,1,9,vn1lesson9,"Chúng ta đã học tính từ, hôm nay chúng ta sẽ dùng chúng để so sánh",https://englishletics.github.io/daily/lessons/class1/lesson09.html,https://englishletics.github.io/premium/lessons/class1/lesson09.html,10
vn,1,10,vn1lesson10,Các bạn có học thêm gì mới về tính từ không? Hôm nay chúng ta se học về cấu trúc: Tính từ + Giới từ,https://englishletics.github.io/daily/lessons/class1/lesson10.html,https://englishletics.github.io/premium/lessons/class1/lesson10.html,11
vn,1,11,vn1lesson11,Các bạn có thấy tự tin về những gì mình biết không? Hãy cùng ôn lại kiến thức nhé,https://englishletics.github.io/daily/lessons/class1/lesson11.html,https://englishletics.github.io/premium/lessons/class1/lesson11.html,12
vn,1,12,vn1lesson12,"Địa điểm, địa điểm, địa điểm! Hôm nay chúng ta sẽ học cách dùng 'where'",https://englishletics.github.io/daily/lessons/class1/lesson12.html,https://englishletics.github.io/premium/lessons/class1/lesson12.html,13
vn,1,13,vn1lesson13,Bạn là ai? Bạn là một học sinh.  Hãy học cách dùng 'who' cho chính xác,https://englishletics.github.io/daily/lessons/class1/lesson13.html,https://englishletics.github.io/premium/lessons/class1/lesson13.html,14
vn,1,14,vn1lesson14,Các bạn học về câu hỏi bắt đầu bằng 'WH' đến đâu rồi? Hôm nay chúng ta học từ khác: When,https://englishletics.github.io/daily/lessons/class1/lesson14.html,https://englishletics.github.io/premium/lessons/class1/lesson14.html,15
vn,1,15,vn1lesson15,Học dạng câu quan trọng nhất để diễn ta quá khứ: Quá khứ đơn,https://englishletics.github.io/daily/lessons/class1/lesson15.html,https://englishletics.github.io/premium/lessons/class1/lesson15.html,16
vn,1,16,vn1lesson16,Các bạn sẵn sàng chưa?Hôm nay ta sẽ học về thì Hiện tại tiếp diễn và Tương lai đơn,https://englishletics.github.io/daily/lessons/class1/lesson16.html,https://englishletics.github.io/premium/lessons/class1/lesson16.html,17
vn,1,17,vn1lesson17,Hãy thực hành câu hỏi  bắt đầu bằng 'WH'! Who - Where - When,https://englishletics.github.io/daily/lessons/class1/lesson17.html,https://englishletics.github.io/premium/lessons/class1/lesson17.html,18
vn,1,18,vn1lesson18,Các bạn đã thành thạo những bài trước chưa? Ôn lại chút nào,https://englishletics.github.io/daily/lessons/class1/lesson18.html,https://englishletics.github.io/premium/lessons/class1/lesson18.html,19
vn,1,19,vn1lesson19,"Hi vọng là các bạn đã thành thạo dạng câu hỏi bắt đầu bằng WH lần trước, hôm nay ta sẽ học câu hỏi bắt đầu bằng WH khác: What",https://englishletics.github.io/daily/lessons/class1/lesson19.html,https://englishletics.github.io/premium/lessons/class1/lesson19.html,20
vn,1,20,vn1lesson20,"Hôm qua các bạn có thực hành 'What' chưa nhỉ? Hôm nay, ta sẽ học sâu thêm chút nữa",https://englishletics.github.io/daily/lessons/class1/lesson20.html,https://englishletics.github.io/premium/lessons/class1/lesson20.html,21
vn,1,21,vn1lesson21,"Hôm nay, ta sẽ học cách đặt câu hỏi với 'Which' và 'Whose'",https://englishletics.github.io/daily/lessons/class1/lesson21.html,https://englishletics.github.io/premium/lessons/class1/lesson21.html,22
vn,1,22,vn1lesson22,"Ta tạm ngưng học về dạng câu  hỏi bắt đầu bằng WH, chuyển qua học về một điểm quan trọng khác: How",https://englishletics.github.io/daily/lessons/class1/lesson22.html,https://englishletics.github.io/premium/lessons/class1/lesson22.html,23
vn,1,23,vn1lesson23,Hãy đảm bảo là mình đã thành thục bài học và những câu hỏi trước nhé vì giờ ta chuyển sang học về từ 'How',https://englishletics.github.io/daily/lessons/class1/lesson23.html,https://englishletics.github.io/premium/lessons/class1/lesson23.html,24
vn,1,24,vn1lesson24,"Trở lại với câu hỏi bắt đầu bằng WH', hôm nay ta sẽ học về 'Why'",https://englishletics.github.io/daily/lessons/class1/lesson24.html,https://englishletics.github.io/premium/lessons/class1/lesson24.html,25
vn,1,25,vn1lesson25,"Hi vọng mọi người đã hiểu rõ bài học trước và tất cả các câu hỏi, giờ ôn tập nào",https://englishletics.github.io/daily/lessons/class1/lesson25.html,https://englishletics.github.io/premium/lessons/class1/lesson25.html,
vn,2,1,vn2lesson1,Bạn làm gì khi rãnh? Hôm nay ta sẽ học về sở thích nhé,https://englishletics.github.io/daily/lessons/class2/lesson01.html,https://englishletics.github.io/premium/lessons/class2/lesson01.html,2
vn,2,2,vn2lesson2,"Bài học trước ta học về  'Hobbies'- là thứ bạn thích, hôm nay ta học về thứ bạn ghét nhé",https://englishletics.github.io/daily/lessons/class2/lesson02.html,https://englishletics.github.io/premium/lessons/class2/lesson02.html,3
vn,2,3,vn2lesson3,Hằng ngày bạn làm gì nhỉ? Lịch sinh hoạt trong một ngày của bạn như thế nào?,https://englishletics.github.io/daily/lessons/class2/lesson03.html,https://englishletics.github.io/premium/lessons/class2/lesson03.html,4
vn,2,4,vn2lesson4,"Truyền hình( Chính kịch), hài kịch và nhiều nhiều nữa. Hôm nay ta sẽ học về các thể loại phim ",https://englishletics.github.io/daily/lessons/class2/lesson04.html,https://englishletics.github.io/premium/lessons/class2/lesson04.html,5
vn,2,5,vn2lesson5,"Anh, chị, cha, mẹ và nhiều nhiều nữa. Hôm nay ta sẽ học về gia đình",https://englishletics.github.io/daily/lessons/class2/lesson05.html,https://englishletics.github.io/premium/lessons/class2/lesson05.html,6
vn,2,6,vn2lesson6,Hôm nay ta sẽ học về thế giới nhé. Bạn thích đi du lịch ở đâu?,https://englishletics.github.io/daily/lessons/class2/lesson06.html,https://englishletics.github.io/premium/lessons/class2/lesson06.html,7
vn,2,7,vn2lesson7,Khi còn nhỏ bạn muốn làm nghề gì? Hãy cùng nói về công việc mơ ước của bạn,https://englishletics.github.io/daily/lessons/class2/lesson07.html,https://englishletics.github.io/premium/lessons/class2/lesson07.html,8
vn,2,8,vn2lesson8,Chúng ta đã học về nghề nghiệp mơ ước trong bài học trước. Hôm nay ta sẽ nói về thực tế nhé: Công việc,https://englishletics.github.io/daily/lessons/class2/lesson08.html,https://englishletics.github.io/premium/lessons/class2/lesson08.html,9
vn,2,9,vn2lesson9,"Các bạn đã nắm chắc bài học về công việc lần trước chưa? Hôm nay, ta sẽ đi mua sắm thôi!",https://englishletics.github.io/daily/lessons/class2/lesson09.html,https://englishletics.github.io/premium/lessons/class2/lesson09.html,10
vn,2,10,vn2lesson10,"Hôm nay, ta sẽ học về những mối tương tác với bạn bè. Tình bạn! ",https://englishletics.github.io/daily/lessons/class2/lesson10.html,https://englishletics.github.io/premium/lessons/class2/lesson10.html,11
vn,2,11,vn2lesson11,"Nhìn lại nào, ta đã học về tính từ. Hôm nay, ta sẽ học một thứ tương tự như vậy: Miêu tả ngoại hình",https://englishletics.github.io/daily/lessons/class2/lesson11.html,https://englishletics.github.io/premium/lessons/class2/lesson11.html,12
vn,2,12,vn2lesson12,Bạn thông minh hay vui tính? Hãy xem qua tất cả các tính cách nào,https://englishletics.github.io/daily/lessons/class2/lesson12.html,https://englishletics.github.io/premium/lessons/class2/lesson12.html,13
vn,2,13,vn2lesson13,"Bạn học bài trước về 'tính cách tới đâu rồi? Hôm nay, ta sẽ đi sâu hơn chút nhé",https://englishletics.github.io/daily/lessons/class2/lesson13.html,https://englishletics.github.io/premium/lessons/class2/lesson13.html,14
vn,2,14,vn2lesson14,Hôm nay ta học thêm chút nữa về tình bạn,https://englishletics.github.io/daily/lessons/class2/lesson14.html,https://englishletics.github.io/premium/lessons/class2/lesson14.html,15
vn,2,15,vn2lesson15,"Hôm này, cùng học về những câu từ và cấu trúc liên quan đến tình yêu nào",https://englishletics.github.io/daily/lessons/class2/lesson15.html,https://englishletics.github.io/premium/lessons/class2/lesson15.html,16
vn,2,16,vn2lesson16,Yêu nữa nào! Hãy xem qua những ví dụ phức tạp hơn về 'love' nào,https://englishletics.github.io/daily/lessons/class2/lesson16.html,https://englishletics.github.io/premium/lessons/class2/lesson16.html,17
vn,2,17,vn2lesson17,Cuộc sống đại học là chủ đề của bài học hôm nay. Cùng học những cấu trúc và tữa đề  liên quan một cách phong phú đến việc học,https://englishletics.github.io/daily/lessons/class2/lesson17.html,https://englishletics.github.io/premium/lessons/class2/lesson17.html,18
vn,2,18,vn2lesson18,"Gần đây ta đã học về tình yêu, và hôm nay ta nói thêm một chút về những cảm giác",https://englishletics.github.io/daily/lessons/class2/lesson18.html,https://englishletics.github.io/premium/lessons/class2/lesson18.html,19
vn,2,19,vn2lesson19,Bài học về cảm giác thế nào rồi các bạn? Hôm nay ta đi sâu hơn nhé,https://englishletics.github.io/daily/lessons/class2/lesson19.html,https://englishletics.github.io/premium/lessons/class2/lesson19.html,20
vn,2,20,vn2lesson20,"Có một thân hình thon thả và khỏe mạnh là rất quan trọng. Hôm nay, hãy cùng nói về  phong cách sống lành mạnh nào",https://englishletics.github.io/daily/lessons/class2/lesson20.html,https://englishletics.github.io/premium/lessons/class2/lesson20.html,21
vn,2,21,vn2lesson21,"Bài học trước ta đã học về cách để khỏe mạnh, nhưng hôm nay ta sẽ học về bệnh",https://englishletics.github.io/daily/lessons/class2/lesson21.html,https://englishletics.github.io/premium/lessons/class2/lesson21.html,22
vn,2,22,vn2lesson22,Quê bạn nổi tiếng vì gì nhỉ ! Hãy học cách miêu tả quê hương mình,https://englishletics.github.io/daily/lessons/class2/lesson22.html,https://englishletics.github.io/premium/lessons/class2/lesson22.html,23
vn,2,23,vn2lesson23,"Thời gian trước, ta đã học về công việc. Hi vọng các bạn đã nắm vững bài rồi. Hôm nay ta sẽ nói về việc làm",https://englishletics.github.io/daily/lessons/class2/lesson23.html,https://englishletics.github.io/premium/lessons/class2/lesson23.html,24
vn,2,24,vn2lesson24,Món ăn yêu thích của bạn là gì? Thức uống yêu thích của bạn là gì? Đó là một chủ đề hay chứ  nhỉ!,https://englishletics.github.io/daily/lessons/class2/lesson24.html,https://englishletics.github.io/premium/lessons/class2/lesson24.html,25
vn,2,25,vn2lesson25,Cụm động từ rất quan trọng trong giao tiếp hằng ngày bằng tiếng Anh. Hãy xem qua vài ví dụ nhé!,https://englishletics.github.io/daily/lessons/class2/lesson25.html,https://englishletics.github.io/premium/lessons/class2/lesson25.html,
pt,1,1,pt1lesson1,Vamos começar com a primeira lição: Noun (what).,https://englishletics.github.io/daily/lessons/class1/lesson01.html,https://englishletics.github.io/premium/lessons/class1/lesson01.html,2
pt,1,2,pt1lesson2,Como você gostou da lição de animais? Agora falamos sobre verbos!,https://englishletics.github.io/daily/lessons/class1/lesson02.html,https://englishletics.github.io/premium/lessons/class1/lesson02.html,3
pt,1,3,pt1lesson3,"Você aprendeu os verbos ontem? Agora, nós construímos frases.",https://englishletics.github.io/daily/lessons/class1/lesson03.html,https://englishletics.github.io/premium/lessons/class1/lesson03.html,4
pt,1,4,pt1lesson4,Como estão avançando suas frases? Vamos tentar algo mais: verbos. Isto é muito importante.,https://englishletics.github.io/daily/lessons/class1/lesson04.html,https://englishletics.github.io/premium/lessons/class1/lesson04.html,5
pt,1,5,pt1lesson5,"Em qualquer caso, você pode continuar aqui com as lições gratuitas. Esta é a sua próxima.",https://englishletics.github.io/daily/lessons/class1/lesson05.html,https://englishletics.github.io/premium/lessons/class1/lesson05.html,6
pt,1,6,pt1lesson6,Aprendemos algo muito útil: As perguntas para responder com Sim/Não!,https://englishletics.github.io/daily/lessons/class1/lesson06.html,https://englishletics.github.io/premium/lessons/class1/lesson06.html,7
pt,1,7,pt1lesson7,"Hoje, nos concentramos em descrições com adjetivos.",https://englishletics.github.io/daily/lessons/class1/lesson07.html,https://englishletics.github.io/premium/lessons/class1/lesson07.html,8
pt,1,8,pt1lesson8,Pratique o verbo mais importante na língua inglesa: to be = ser.,https://englishletics.github.io/daily/lessons/class1/lesson08.html,https://englishletics.github.io/premium/lessons/class1/lesson08.html,9
pt,1,9,pt1lesson9,"Aprendemos recentemente adjetivos, e hoje os usamos como comparação.",https://englishletics.github.io/daily/lessons/class1/lesson09.html,https://englishletics.github.io/premium/lessons/class1/lesson09.html,10
pt,1,10,pt1lesson10,Você já aprendeu muito sobre adjetivos? Hoje vamos aprender mais ainda: Adjetivos + Preposições.,https://englishletics.github.io/daily/lessons/class1/lesson10.html,https://englishletics.github.io/premium/lessons/class1/lesson10.html,11
pt,1,11,pt1lesson11,Se sente confiante com o seu conhecimento? Vamos rever as suas habilidades linguísticas até agora.,https://englishletics.github.io/daily/lessons/class1/lesson11.html,https://englishletics.github.io/premium/lessons/class1/lesson11.html,12
pt,1,12,pt1lesson12,"Localização, localização, localização! Hoje aprendemos a usar 'where' = 'onde'.",https://englishletics.github.io/daily/lessons/class1/lesson12.html,https://englishletics.github.io/premium/lessons/class1/lesson12.html,13
pt,1,13,pt1lesson13,Quem é você? Você é um estudante. Saiba como usar 'who' = 'quem' corretamente.,https://englishletics.github.io/daily/lessons/class1/lesson13.html,https://englishletics.github.io/premium/lessons/class1/lesson13.html,14
pt,1,14,pt1lesson14,Como vai com as perguntas WH anteriores? Hoje aprendemos outra: 'when' = 'quando'.,https://englishletics.github.io/daily/lessons/class1/lesson14.html,https://englishletics.github.io/premium/lessons/class1/lesson14.html,15
pt,1,15,pt1lesson15,"Aprenda o tempo mais importante para descrever o passado: Simple past, o passado simples.",https://englishletics.github.io/daily/lessons/class1/lesson15.html,https://englishletics.github.io/premium/lessons/class1/lesson15.html,16
pt,1,16,pt1lesson16,Você está pronto? Hoje falamos sobre os tempos presente contínuo e futuro simples.,https://englishletics.github.io/daily/lessons/class1/lesson16.html,https://englishletics.github.io/premium/lessons/class1/lesson16.html,17
pt,1,17,pt1lesson17,Pratique suas perguntas WH! Who - Where - When (Quem - Onde - Quando).,https://englishletics.github.io/daily/lessons/class1/lesson17.html,https://englishletics.github.io/premium/lessons/class1/lesson17.html,18
pt,1,18,pt1lesson18,Você dominou as lições recentes? É hora para uma revisão!,https://englishletics.github.io/daily/lessons/class1/lesson18.html,https://englishletics.github.io/premium/lessons/class1/lesson18.html,19
pt,1,19,pt1lesson19,Esperamos que você tenha aprendido as perguntas WH anteriores porque hoje aprendemos outra: 'what' = 'que'.,https://englishletics.github.io/daily/lessons/class1/lesson19.html,https://englishletics.github.io/premium/lessons/class1/lesson19.html,20
pt,1,20,pt1lesson20,Você praticou 'what' ='que' ontem? Hoje aprendemos ainda mais sobre isso.,https://englishletics.github.io/daily/lessons/class1/lesson20.html,https://englishletics.github.io/premium/lessons/class1/lesson20.html,21
pt,1,21,pt1lesson21,"Hoje, você aprende a perguntar 'which' = 'quais' e 'whose' = 'cujas' perguntas.",https://englishletics.github.io/daily/lessons/class1/lesson21.html,https://englishletics.github.io/premium/lessons/class1/lesson21.html,22
pt,1,22,pt1lesson22,"Tomamos uma pausa das perguntas WH, e olhando para outra importante: 'how' = 'como'.",https://englishletics.github.io/daily/lessons/class1/lesson22.html,https://englishletics.github.io/premium/lessons/class1/lesson22.html,23
pt,1,23,pt1lesson23,Certifique-se de dominar a lição anterior porque perguntamos mais 'how'.,https://englishletics.github.io/daily/lessons/class1/lesson23.html,https://englishletics.github.io/premium/lessons/class1/lesson23.html,24
pt,1,24,pt1lesson24,De volta às perguntas WH! Vamos conhecer 'why' = 'porquê' hoje.,https://englishletics.github.io/daily/lessons/class1/lesson24.html,https://englishletics.github.io/premium/lessons/class1/lesson24.html,25
pt,1,25,pt1lesson25,Tomara que você dominasse as lições anteriores e todas as perguntas dentro delas. Uma revisão é próxima!,https://englishletics.github.io/daily/lessons/class1/lesson25.html,https://englishletics.github.io/premium/lessons/class1/lesson25.html,
pt,2,1,pt2lesson1,O que você faz no seu tempo livre? Aprendemos hobbies hoje.,https://englishletics.github.io/daily/lessons/class2/lesson01.html,https://englishletics.github.io/premium/lessons/class2/lesson01.html,2
pt,2,2,pt2lesson2,"A última lição 'Hobbies' foi algo que você ama. Hoje, aprendemos 'what I hate' = 'o que eu odeio'.",https://englishletics.github.io/daily/lessons/class2/lesson02.html,https://englishletics.github.io/premium/lessons/class2/lesson02.html,3
pt,2,3,pt2lesson3,O que você faz todos os dias? Qual é a sua rotina diária? Disse se trata a próxima lição.,https://englishletics.github.io/daily/lessons/class2/lesson03.html,https://englishletics.github.io/premium/lessons/class2/lesson03.html,4
